iso639_3,name,alt_names,iso639_1,iso639_2b,iso639_2t,scope,type,glottocode,family,family_glottocode,is_isolate,countries,latitude,longitude
gbq,Gbaya-Bozoum,Bozom;Gbaya;Gbaya de Bozoum,,,,individual,living,gbay1286,Atlantic-Congo,atla1278,false,CF,5.9879,16.4643
gmm,Gbaya-Mbodomo,Bodomo;Gbaya;Mbodomo;Mbondomo,,,,individual,living,gbay1281,Atlantic-Congo,atla1278,false,CF;CM,4.800365,14.606865
gyg,Gbayi,Kpasiya,,,,individual,living,gbay1278,Atlantic-Congo,atla1278,false,CF,5.57378,21.9707
gbs,Gbesi Gbe,"Benin;Gbe, Gbesi",,,,individual,living,gbes1238,Atlantic-Congo,atla1278,false,BJ,6.55911,2.0269
ggb,Gbii,Gbee;Gbi-Dowlu,,,,individual,living,gbii1242,Kru,krua1234,false,LR,5.87021,-8.9346
xgb,Gbin,,,,,individual,extinct,gbin1239,Mande,mand1469,false,CI,8.020857,-2.811213
grh,Gbiri-Niragu,Gure-Kahugu,,,,individual,living,gbir1241,Atlantic-Congo,atla1278,false,NG,10.3923,8.43157
gec,Gboloo Grebo,"Gblou Grebo;Gboloo;Grebo;Grebo, Gboloo",,,,individual,living,gbol1235,Kru,krua1234,false,CI;LR,4.75405,-7.66699
drs,Gedeo,Darasa;Darassa;Derasa;Derasanya;Deresa;Geddeo,,,,individual,living,gede1246,Afro-Asiatic,afro1255,false,ET,6.18469,38.2395
gez,Geez,Ancient Ethiopic;Ethiopic;Ge'ez;Ge`ez;Gi'iz;Giiz;Gueez,,gez,gez,individual,historical,geez1241,Afro-Asiatic,afro1255,false,ER;ET,10.1342,40.6821
gyz,Geji,Gyaazi;Nuclear Geji,,,,individual,living,nucl1692,Afro-Asiatic,afro1255,false,NG,10.34776,9.64965
geq,Geme,Gemé;Gueme;Jeme;Ngba Geme,,,,individual,living,geme1244,Atlantic-Congo,atla1278,false,CF,8.48359,20.6611
gej,Gen,Ge;Gebe;Gen-Gbe;Guin;Mina;Mina-Gen;Popo,,,,individual,living,genn1243,Atlantic-Congo,atla1278,false,BJ;TG,6.25971,1.67727
geg,Gengle,Momu;Wegele;Yagele,,,,individual,living,geng1243,,,false,NG,8.8956,11.9527
gew,Gera,Gerawa,,,,individual,living,gera1246,Afro-Asiatic,afro1255,false,NG,10.4331,10.12
gea,Geruma,Gerema;Germa;Gerumawa,,,,individual,living,geru1240,Afro-Asiatic,afro1255,false,NG,10.4775,9.78484
gha,Ghadamès,Gadamés;Ghadames;Ghadāmis,,,,individual,living,ghad1239,Afro-Asiatic,afro1255,false,DZ;LY;TN,30.1168,10.0165
gpe,Ghanaian Pidgin English,"Pidgin English, Ghanaian",,,,individual,living,ghan1244,Indo-European,indo1319,false,GH,5.793241,-0.283641
gse,Ghanaian Sign Language,,,,,individual,living,ghan1235,Sign Language,sign1238,false,GH,5.55225,-0.30274
gho,Ghomara,Ghmara;Ghomara Berber;Ghumāra,,,,individual,living,ghom1257,Afro-Asiatic,afro1255,false,MA,34.7979,-4.6696
bbj,Ghomálá',Baloum;Bamileke-Bandjoun;Bandjoun;Banjoun-Baham;Banjun;Batie;Ghomala';Ghomálá;Mahum;Mandju,,,,individual,living,ghom1247,Atlantic-Congo,atla1278,false,CM,5.39619,10.352
aaa,Ghotuo,Otuo;Otwa,,,,individual,living,ghot1243,Atlantic-Congo,atla1278,false,NG,7.11551,5.95663
ghl,Ghulfan,Gulfan;Nubian (Hill);Uncunwee;Wunci;Wuncimbe,,,,individual,living,ghul1238,Nubian,nubi1251,false,SD,11.6432,29.8122
gib,Gibanawa,Gembanawa;Gimbanawa;Jega,,,,individual,living,giba1240,Pidgin,pidg1258,false,NG,12.584,8.615
gid,Gidar,Baynawa;Gidder;Guidar;Guider;Kada,,,,individual,living,gida1247,Afro-Asiatic,afro1255,false,CM;TD,9.874715,14.07845
kks,Giiwo,Bu Giiwo;Kirfi;Kirifawa;Kirifi,,,,individual,living,giiw1236,Afro-Asiatic,afro1255,false,NG,10.35754,10.46037
acd,Gikyode,Chode;Guang;Kyode,,,,individual,living,giky1238,Atlantic-Congo,atla1278,false,GH;TG,8.39478,0.56975
gix,Gilima,Democratic Republic of the Congo,,,,individual,living,gili1241,Atlantic-Congo,atla1278,false,CD;CF,4.5585,19.0091
kmp,Gimme,Gimma;Koma Kompana;Kompana;Kompara;Panbe,,,,individual,living,gimm1241,Atlantic-Congo,atla1278,false,CM;NG,8.58084,12.6658
gmn,Gimnime,Gimbe;Kadam;Koma Kadam;Komlama;Laame;Yotubo,,,,individual,living,gimn1238,Atlantic-Congo,atla1278,false,CM;NG,8.58129,12.7869
ayg,Ginyanga,Agnagan;Anyanga;Genyanga;Guang,,,,individual,living,giny1241,Atlantic-Congo,atla1278,false,TG,8.2327,0.98348
gii,Girirra,,,,,individual,living,giri1245,Afro-Asiatic,afro1255,false,ET,5.76,42.17
nyf,Giryama,Agiryama;Giriama;Kigiriama;Kigiryama;Kinyika;Nika;Nyika,,,,individual,living,giry1241,Atlantic-Congo,atla1278,false,KE,-3.30638,39.6648
toh,Gitonga,Bitonga;Inhambane;Shengwe;Tonga;Tonga-Inhambane,,,,individual,living,gito1238,Atlantic-Congo,atla1278,false,MZ,-23.7964,35.1577
glr,Glaro-Twabo,"Liberia, Côte d'Ivoire",,,,individual,living,glar1241,Kru,krua1234,false,CI;LR,5.23264,-7.50317
glw,Glavda,Galavda;Galvaxdaxa;Gelebda;Gelvaxdaxa;Glanda;Guelebda;Vale,,,,individual,living,glav1244,Afro-Asiatic,afro1255,false,CM;NG,11.1334,13.8652
oub,Glio-Oubi,Glio;Oubi;Ubi,,,,individual,living,glio1241,Kru,krua1234,false,CI;LR,5.39966,-7.50585
gox,Gobu,Gabou;Gabu;Gubu;Ngobo;Ngobu,,,,individual,living,gobu1238,Atlantic-Congo,atla1278,false,CD;CF,5.01201,20.0194
god,Godié,Godie;Godye,,,,individual,living,godi1239,Kru,krua1234,false,CI,5.3944,-5.82696
ank,Goemai,Ankwai;Ankwe;Ankwei;Kemai,,,,individual,living,goem1240,Afro-Asiatic,afro1255,false,NG,8.74455,9.72453
gof,Gofa,,,,,individual,living,gofa1235,Ta-Ne-Omotic,gong1255,false,ET,6.57645,37.05
gog,Gogo,Chigogo;Kigogo,,,,individual,living,gogo1263,Atlantic-Congo,atla1278,false,TZ,-6.35951,35.4807
gkn,Gokana,Nigeria,,,,individual,living,goka1239,Atlantic-Congo,atla1278,false,NG,4.61889,7.34457
gol,Gola,Gula,,,,individual,living,gola1255,Atlantic-Congo,atla1278,false,LR;SL,7.06193,-10.8138
gjn,Gonja,Guang;Ngbanyito,,,,individual,living,gonj1241,Atlantic-Congo,atla1278,false,GH,8.48801,-0.72757
gov,Goo,,,,,individual,living,gooa1234,Mande,mand1469,false,CI,7.580998,-7.562563
gqr,Gor,Bodo,,,,individual,living,gorr1238,Central Sudanic,cent2225,false,CF;TD,8.0841,17.0713
gow,Gorowa,Fiome;Fiomi;Goroa;Gorwaa;Kimbulu;Ufiomi;Ufromi,,,,individual,living,goro1270,Afro-Asiatic,afro1255,false,TZ,-4.23575,35.7996
goy,Goundo,Gundo,,,,individual,living,goun1238,Atlantic-Congo,atla1278,false,TD,9.46683,16.255
gux,Gourmanchéma,Goulmacema;Gourma;Gourmanch(ma);Gourmanchema;Gourmantche;Gulimancema;Gulmancema;Gurma;Gurma (Gourma;Gurma (Togo);Migulimancema,,,,individual,living,gour1243,Atlantic-Congo,atla1278,false,BF;BJ;NE;TG,11.6711,1.28489
grb,Grebo,Barclayville Grebo;Central Grebo;Gboloo Grebo;Northern Grebo;Southern Grebo,,grb,grb,macrolanguage,living,greb1256,Kru,krua1234,false,CI;LR,4.717748125,-7.80341125
gwx,Gua,Anum-Boso;Guang;Gwa,,,,individual,living,guaa1238,Atlantic-Congo,atla1278,false,GH,6.52106,0.16932
gnc,Guanche,Spain,,,,individual,extinct,guan1277,Afro-Asiatic,afro1255,false,,28.0,-15.5
gde,Gude,Cheke;Goude;Mapodi;Mapuda;Mocigin;Motchekin;Mubi;Mudaye;Shede;Tchade;Tcheke,,,,individual,living,gude1246,Afro-Asiatic,afro1255,false,CM;NG,10.2138,13.403
gdu,Gudu,Gombi;Gudo;Gutu,,,,individual,living,gudu1250,Afro-Asiatic,afro1255,false,NG,10.1206,12.5359
gdf,Guduf-Gava,Afkabiye;Gavoko;Gavoko (Guduf);Guduf;Gudupe;Kdupe,,,,individual,living,gudu1252,Afro-Asiatic,afro1255,false,CM;NG,11.1057,13.7893
bet,Guiberoua Béte,"Bete;Béte, Guiberoua;Bété;Central Bété;Guiberoua Bete;Western Bété",,,,individual,living,guib1246,Kru,krua1234,false,CI,6.13837,-6.51291
gkp,Guinea Kpelle,"Akpese;Gbese;Gerse;Gerze;Guerze;Kpele;Kpelese;Kpelesetina;Kpelle;Kpelle, Guinea;Kperese;Kpese;Kpwessi;Northern Kpele;Pessa;Pessy",,,,individual,living,guin1254,Mande,mand1469,false,GN;LR,7.93196,-8.98843
lgs,Guinea-Bissau Sign Language,Língua Gestual Guineense,,,,individual,living,guin1260,Sign Language,sign1238,false,GW,11.859297,-15.591553
gus,Guinean Sign Language,,,,,individual,living,guin1250,Sign Language,sign1238,false,GN,9.553,-13.674
kcm,Gula (Central African Republic),Goula;Gula;Gula du Mamoun;Kara;Kara de Soudan;Kara of Sudan;Tar Gula;Yamegi,,,,individual,living,gula1266,Central Sudanic,cent2225,false,CF;SD;SS,9.49092,23.3805
glu,Gula (Chad),Goula;Gula;Gula (Gele);Gula (in Central African Republic);Sara Goula;Sara Gula,,,,individual,living,gula1269,Central Sudanic,cent2225,false,TD,10.3049,19.2182
glj,Gula Iro,"Goula d'Iro;Goula Iro;Iro;Iro Gula, Kulaal;Kulaal",,,,individual,living,gula1265,Atlantic-Congo,atla1278,false,TD,10.267,19.5359
gvl,Gulay,Goulai;Goulaye;Goulei;Gulai;Gulei,,,,individual,living,gula1268,Central Sudanic,cent2225,false,TD,9.06629,17.3151
gly,Gule,Anej;Fecakomodiyo;Hamej,,,,individual,extinct,gule1241,Gule (isolate),gule1241,true,SD,11.8336,33.6929
guk,Gumuz,"""Shankilligna"";Bega;Bega-Tse;Debatsa;Debuga;Deguba;Dehenda;Gombo;Gumis;Gumuzinya;Mendeya;Shankillinya;Shanqilla;Sigumza",,,,individual,living,gumu1244,Gumuz,gumu1250,false,ET;SD,11.05,35.93
guw,Gun,Alada;Alada-Gbe;Aladian;Egun;Goun;Gu;Gugbe;Gun-Alada;Gun-Gbe;Seto-Gbe;Toli-Gbe,,,,individual,living,gunn1250,Atlantic-Congo,atla1278,false,BJ;NG,6.48529,2.76767
